,accuracy,semantic_similarity,precision,recall,f1,bertscore_p,bertscore_r,bertscore_f1,pp_id
84,0.0,0.1,0.0,0.0,0.0,0.8302971124649048,0.778091549873352,0.803347110748291,94
85,0.0,0.8125,0.0,0.0,0.0,0.8783857822418213,0.9462328553199768,0.9110479354858398,98
86,0.0,0.8529411764705882,0.0,0.0,0.0,0.8468823432922363,0.9145050048828125,0.879395604133606,99
87,0.0,0.8933333333333333,0.0,0.0,0.0,0.893875241279602,0.9327381253242493,0.9128932356834412,100
88,0.0,0.8292682926829268,0.0,0.0,0.0,0.8387182354927063,0.91347736120224,0.874502956867218,101
89,0.0,0.9,0.0,0.0,0.0,0.8942370414733887,0.9371528625488281,0.9151920676231384,102
90,0.0,0.88,0.0,0.0,0.0,0.8422166109085083,0.8773417472839355,0.8594204187393188,103
91,0.0,0.6226053639846744,0.5,0.5,0.5,0.8899713158607483,0.9176194071769714,0.9035839438438416,104
92,0.0,0.5954825462012321,0.5,0.5,0.5,0.8788449168205261,0.9070397615432739,0.8927198052406311,105
93,0.0,0.8095238095238095,0.0,0.0,0.0,0.811357855796814,0.8705770969390869,0.8399249315261841,106
94,0.0,0.8787878787878788,0.0,0.0,0.0,0.8942837715148926,0.9207308888435364,0.9073147177696228,107
95,0.0,0.8571428571428571,0.0,0.0,0.0,0.8508031368255615,0.8940349817276001,0.8718835115432739,108
96,0.0,0.8484848484848485,0.0,0.0,0.0,0.8667157888412476,0.9137983918190002,0.8896345496177673,109
97,0.0,0.628482972136223,0.5,0.5,0.5,0.9233271479606628,0.914077877998352,0.9186792969703674,110
98,0.0,0.0,0.0,0.0,0.0,0.8981818556785583,0.8871809840202332,0.8926475048065186,111
99,0.0,0.0,0.0,0.0,0.0,0.9077697396278381,0.8984454870223999,0.9030835032463074,112
100,0.0,0.0,0.0,0.0,0.0,0.8514851331710815,0.6781713962554932,0.7550098299980164,113
101,0.0,0.5,0.0,0.0,0.0,0.9992600083351135,0.9992600083351135,0.9992600083351135,114
102,0.0,0.5333333333333333,0.0,0.0,0.0,0.9106342196464539,0.9215456247329712,0.9160574674606323,115
103,0.0,0.6513157894736842,0.0,0.0,0.0,0.913957953453064,0.935431182384491,0.9245699048042297,116
104,0.0,0.2962962962962963,0.0,0.0,0.0,0.83793044090271,0.8966836333274841,0.8663119673728943,117
105,0.0,0.058823529411764705,0.0,0.0,0.0,0.8112385272979736,0.6849486827850342,0.7427636384963989,118
106,0.0,0.5085714285714286,0.0,0.0,0.0,0.8940629959106445,0.9066227078437805,0.900299072265625,119
107,0.0,0.01639344262295082,0.0,0.0,0.0,0.8017387986183167,0.7070542573928833,0.7514255046844482,120
108,0.0,0.023529411764705882,0.0,0.0,0.0,0.8163741827011108,0.6717696189880371,0.7370461821556091,121
109,0.0,0.0,0.0,0.0,0.0,0.8353530764579773,0.9043722152709961,0.8684934973716736,122
110,0.0,0.0,0.0,0.0,0.0,0.8093400001525879,0.707037091255188,0.7547375559806824,123
111,0.0,0.23809523809523808,0.0,0.0,0.0,0.8406335711479187,0.7740786075592041,0.8059844374656677,124
112,0.0,0.10989010989010989,0.0,0.0,0.0,0.8174043297767639,0.7478111386299133,0.7810605764389038,125
113,0.0,0.765625,0.0,0.0,0.0,0.9225209951400757,0.9488041996955872,0.9354779720306396,126
114,0.0,0.5,0.0,0.0,0.0,0.9998703002929688,0.9998703002929688,0.9998703002929688,127
115,0.0,0.5687645687645687,0.42105263157894735,0.5333333333333333,0.47058823529411764,0.8572729825973511,0.9271163940429688,0.8908277750015259,128
116,0.0,0.5952380952380952,0.42105263157894735,0.5,0.45714285714285713,0.855186402797699,0.9337352514266968,0.8927363753318787,129
117,0.0,0.0,0.0,0.0,0.0,0.9105867147445679,0.8765214681625366,0.8932294249534607,130
118,0.0,0.8666666666666667,0.0,0.0,0.0,0.9170471429824829,0.954517126083374,0.9354070425033569,131
119,0.0,0.0,0.0,0.0,0.0,0.999590277671814,0.999590277671814,0.999590277671814,132
120,0.0,0.0,0.0,0.0,0.0,0.977853000164032,0.977853000164032,0.977853000164032,133
121,0.0,0.6131386861313869,0.0,0.0,0.0,0.8485767841339111,0.86908358335495,0.8587077260017395,134
122,0.0,0.0,0.0,0.0,0.0,0.9994471073150635,0.9994471073150635,0.9994471073150635,135
123,0.0,0.0,0.0,0.0,0.0,0.9996641874313354,0.9996641874313354,0.9996641874313354,136
124,0.0,0.0,0.0,0.0,0.0,0.9995570778846741,0.9995570778846741,0.9995570778846741,137
125,0.0,0.68,0.0,0.0,0.0,0.8346223831176758,0.8451762199401855,0.8398661017417908,138
126,0.0,0.6428571428571429,0.0,0.0,0.0,0.9803743958473206,0.9842433929443359,0.982305109500885,139
127,0.0,0.2222222222222222,0.0,0.0,0.0,0.9615784883499146,0.9585518836975098,0.9600628018379211,140
128,0.0,0.448931623931624,0.0,0.0,0.0,0.8824988603591919,0.930037260055542,0.9056445956230164,141
129,0.0,0.9,0.0,0.0,0.0,0.872636616230011,0.9509623050689697,0.9101173877716064,142
130,0.0,0.0,0.0,0.0,0.0,0.9992080926895142,0.9992080926895142,0.9992080926895142,143
131,0.0,0.0,0.0,0.0,0.0,0.999730110168457,0.999730110168457,0.999730110168457,144
132,0.0,0.0,0.0,0.0,0.0,0.99976646900177,0.99976646900177,0.99976646900177,145
133,0.0,0.6666666666666666,0.0,0.0,0.0,0.8429422378540039,0.9147439002990723,0.8773764967918396,146
134,0.0,0.0,0.0,0.0,0.0,0.9997580647468567,0.9997580647468567,0.9997580647468567,147
135,0.0,0.5,0.0,0.0,0.0,0.9996556639671326,0.9996556639671326,0.9996556639671326,148
136,0.0,0.0,0.0,0.0,0.0,0.9998272657394409,0.9998272657394409,0.9998272657394409,149
137,0.0,0.0,0.0,0.0,0.0,0.9994248151779175,0.9994248151779175,0.9994248151779175,150
138,0.0,0.9512195121951219,0.5,0.5,0.5,0.9434463381767273,0.9554526805877686,0.9494115114212036,151
139,0.0,0.835820895522388,0.3333333333333333,0.4,0.3636363636363636,0.894821286201477,0.9306492805480957,0.9123837351799011,152
140,0.0,0.7272727272727273,1.0,0.6923076923076923,0.8181818181818181,0.9742864370346069,0.9531267881393433,0.9635904431343079,153
141,0.0,0.07671957671957672,0.25,0.5714285714285714,0.34782608695652173,0.8567598462104797,0.9150439500808716,0.8849432468414307,154
